geo,date,year,month,unemp_rate,debt_gdp_2021,gdppc,log_gdppc,pop_density,rate,high_debt,post,did_term,months_rel,group_label,country_name,country_fe,time_fe,export_share
AT,2018-01-01,2018,1,5.6,82.4,43360,10.677292636113528,107.1,0,0,0,0,-54,Control (Low-Debt),Austria,AT,2018-01-01,0.29096044989125663
AT,2018-02-01,2018,2,5.4,82.4,43360,10.677292636113528,107.1,0,0,0,0,-53,Control (Low-Debt),Austria,AT,2018-02-01,0.29096044989125663
AT,2018-03-01,2018,3,5.3,82.4,43360,10.677292636113528,107.1,0,0,0,0,-52,Control (Low-Debt),Austria,AT,2018-03-01,0.29096044989125663
AT,2018-04-01,2018,4,5.1,82.4,43360,10.677292636113528,107.1,0,0,0,0,-51,Control (Low-Debt),Austria,AT,2018-04-01,0.29096044989125663
AT,2018-05-01,2018,5,4.9,82.4,43360,10.677292636113528,107.1,0,0,0,0,-50,Control (Low-Debt),Austria,AT,2018-05-01,0.29096044989125663
AT,2018-06-01,2018,6,5,82.4,43360,10.677292636113528,107.1,0,0,0,0,-49,Control (Low-Debt),Austria,AT,2018-06-01,0.29096044989125663
AT,2018-07-01,2018,7,5.3,82.4,43360,10.677292636113528,107.1,0,0,0,0,-48,Control (Low-Debt),Austria,AT,2018-07-01,0.29096044989125663
AT,2018-08-01,2018,8,5.4,82.4,43360,10.677292636113528,107.1,0,0,0,0,-47,Control (Low-Debt),Austria,AT,2018-08-01,0.29096044989125663
AT,2018-09-01,2018,9,5.4,82.4,43360,10.677292636113528,107.1,0,0,0,0,-46,Control (Low-Debt),Austria,AT,2018-09-01,0.29096044989125663
AT,2018-10-01,2018,10,5.2,82.4,43360,10.677292636113528,107.1,0,0,0,0,-45,Control (Low-Debt),Austria,AT,2018-10-01,0.29096044989125663
AT,2018-11-01,2018,11,4.9,82.4,43360,10.677292636113528,107.1,0,0,0,0,-44,Control (Low-Debt),Austria,AT,2018-11-01,0.29096044989125663
AT,2018-12-01,2018,12,5.2,82.4,43360,10.677292636113528,107.1,0,0,0,0,-43,Control (Low-Debt),Austria,AT,2018-12-01,0.29096044989125663
AT,2019-01-01,2019,1,5,82.4,44570,10.704816265940602,107.6,0,0,0,0,-42,Control (Low-Debt),Austria,AT,2019-01-01,0.29096044989125663
AT,2019-02-01,2019,2,5.1,82.4,44570,10.704816265940602,107.6,0,0,0,0,-41,Control (Low-Debt),Austria,AT,2019-02-01,0.29096044989125663
AT,2019-03-01,2019,3,5.1,82.4,44570,10.704816265940602,107.6,0,0,0,0,-40,Control (Low-Debt),Austria,AT,2019-03-01,0.29096044989125663
AT,2019-04-01,2019,4,5.1,82.4,44570,10.704816265940602,107.6,0,0,0,0,-39,Control (Low-Debt),Austria,AT,2019-04-01,0.29096044989125663
AT,2019-05-01,2019,5,4.9,82.4,44570,10.704816265940602,107.6,0,0,0,0,-38,Control (Low-Debt),Austria,AT,2019-05-01,0.29096044989125663
AT,2019-06-01,2019,6,4.6,82.4,44570,10.704816265940602,107.6,0,0,0,0,-37,Control (Low-Debt),Austria,AT,2019-06-01,0.29096044989125663
AT,2019-07-01,2019,7,4.9,82.4,44570,10.704816265940602,107.6,0,0,0,0,-36,Control (Low-Debt),Austria,AT,2019-07-01,0.29096044989125663
AT,2019-08-01,2019,8,5,82.4,44570,10.704816265940602,107.6,0,0,0,0,-35,Control (Low-Debt),Austria,AT,2019-08-01,0.29096044989125663
AT,2019-09-01,2019,9,4.5,82.4,44570,10.704816265940602,107.6,0,0,0,0,-34,Control (Low-Debt),Austria,AT,2019-09-01,0.29096044989125663
AT,2019-10-01,2019,10,4.8,82.4,44570,10.704816265940602,107.6,0,0,0,0,-33,Control (Low-Debt),Austria,AT,2019-10-01,0.29096044989125663
AT,2019-11-01,2019,11,4.3,82.4,44570,10.704816265940602,107.6,0,0,0,0,-32,Control (Low-Debt),Austria,AT,2019-11-01,0.29096044989125663
AT,2019-12-01,2019,12,4.5,82.4,44570,10.704816265940602,107.6,0,0,0,0,-31,Control (Low-Debt),Austria,AT,2019-12-01,0.29096044989125663
AT,2020-01-01,2020,1,4.5,82.4,42650,10.660782552919825,107.6,0,0,0,0,-30,Control (Low-Debt),Austria,AT,2020-01-01,0.29096044989125663
AT,2020-02-01,2020,2,4.6,82.4,42650,10.660782552919825,107.6,0,0,0,0,-29,Control (Low-Debt),Austria,AT,2020-02-01,0.29096044989125663
AT,2020-03-01,2020,3,4.9,82.4,42650,10.660782552919825,107.6,0,0,0,0,-28,Control (Low-Debt),Austria,AT,2020-03-01,0.29096044989125663
AT,2020-04-01,2020,4,6.1,82.4,42650,10.660782552919825,107.6,0,0,0,0,-27,Control (Low-Debt),Austria,AT,2020-04-01,0.29096044989125663
AT,2020-05-01,2020,5,7.2,82.4,42650,10.660782552919825,107.6,0,0,0,0,-26,Control (Low-Debt),Austria,AT,2020-05-01,0.29096044989125663
